Locus,resTime,pol,
tG(GCC)J2,18.635,Pol III,
YML017W,1.665,Pol II,
YER031C,2.263,Pol II,
YOR090C,3.202,Pol II,
YER073W,2.263,Pol II,
YOL010W,5.962,Pol II,
YOR375C,4.918,Pol II,
YOR091W,2.282,Pol II,
YDR300C,3.758,Pol II,
YOL109W,2.279,Pol II,
YLR201C,2.062,Pol II,
YOR062C,10.025,Pol II,
YPL215W,2.691,Pol II,
YPL084W,5.352,Pol II,
YMR221C,12.987,Pol II,
YPL143W,5.647,Pol II,
YOL011W,1.826,Pol II,
YDR469W,6.095,Pol II,
YDR408C,1.505,Pol II,
YDL131W,2.111,Pol II,
YGR024C,2.873,Pol II,
YLR448W,3.37,Pol II,
snR53,16.99,Pol II,
YNL067W-B,4.191,Pol II,
snR49,2.434,Pol II,
YDL188C,3.043,Pol II,
YGL242C,2.262,Pol II,
YBR238C,18.509,Pol II,
snR57,2.401,Pol II,
YDR243C,1.74,Pol II,
YKL172W,3.045,Pol II,
YKL087C,5.414,Pol II,
YML058W,2.136,Pol II,
tT(CGU)K,10.111,Pol III,
YIL125W,1.955,Pol II,
YFL018C,2.209,Pol II,
YPR023C,2.301,Pol II,
tR(ACG)D,9.798,Pol III,
YGR030C,5.048,Pol II,
YOR205C,1.75,Pol II,
YKL054C,3.564,Pol II,
YBR130C,11.066,Pol II,
YBL036C,2.698,Pol II,
tG(GCC)G2,5.976,Pol III,
YPL249C,1.651,Pol II,
YJR123W,2.991,Pol II,
YNL208W,2.284,Pol II,
YDR244W,1.588,Pol II,
YDR497C,1.92,Pol II,
YNL255C,2.03,Pol II,
YNR002C,6.243,Pol II,
YPR145W,1.87,Pol II,
YMR182W-A,4.128,Pol II,
YLR061W,3.493,Pol II,
YOR184W,1.913,Pol II,
YBR242W,5.007,Pol II,
YIL116W,8.649,Pol II,
YDR234W,1.711,Pol II,
YPR098C,1.836,Pol II,
YLL045C,1.845,Pol II,
YOL111C,3.602,Pol II,
YPL271W,1.669,Pol II,
YDL088C,2.651,Pol II,
YBR191W,2.255,Pol II,
YDR441C,4.697,Pol II,
tV(UAC)B,6.277,Pol III,
YER091C,3.906,Pol II,
YDR226W,3.211,Pol II,
YNL123W,2.829,Pol II,
YNL232W,5.368,Pol II,
YLR293C,3.194,Pol II,
YOR195W,3.268,Pol II,
YDR448W,2.621,Pol II,
YOR160W,2.342,Pol II,
YFR010W,1.443,Pol II,
YAL038W,1.694,Pol II,
YOR246C,5.18,Pol II,
YOL030W,2.568,Pol II,
YJL136C,2.133,Pol II,
YLR345W,2.947,Pol II,
YJR006W,2.936,Pol II,
YMR161W,2.447,Pol II,
YCR036W,6.104,Pol II,
YJL180C,11.664,Pol II,
YGR173W,2.764,Pol II,
YIL142W,1.689,Pol II,
YNL189W,5.01,Pol II,
YOL044W,14.417,Pol II,
YOL139C,1.47,Pol II,
YGL022W,5.832,Pol II,
YFL028C,7.225,Pol II,
YDL205C,3.26,Pol II,
YPR198W,5.554,Pol II,
YGL093W,2.656,Pol II,
tG(GCC)M,14.283,Pol III,
YER147C,8.577,Pol II,
YER074W-A,1.857,Pol II,
YDL045W-A,1.693,Pol II,
YOL086C,2.921,Pol II,
YFL008W,3.1,Pol II,
YLR372W,1.546,Pol II,
YOR332W,2.271,Pol II,
YNR021W,2.794,Pol II,
YMR226C,3.728,Pol II,
YER093C,1.577,Pol II,
tM(CAU)J2,5.164,Pol III,
YLR337C,6.086,Pol II,
YJL210W,1.568,Pol II,
YLL050C,3.494,Pol II,
YJL158C,1.477,Pol II,
YNL097C,53.27,Pol II,
YER163C,4.501,Pol II,
tL(UAA)K,15.956,Pol III,
YNL168C,2.368,Pol II,
tP(UGG)H,4.274,Pol III,
YGR185C,3.905,Pol II,
tV(CAC)H,2.826,Pol III,
YNL044W,3.899,Pol II,
YML012W,2.366,Pol II,
snR63,10.189,Pol II,
YLR051C,5.459,Pol II,
YLR074C,4.696,Pol II,
YNR050C,15.514,Pol II,
YCL037C,5.291,Pol II,
YKL198C,2.454,Pol II,
YER120W,2.516,Pol II,
YNL250W,5.762,Pol II,
YGL105W,6.672,Pol II,
YKL213C,3.191,Pol II,
YPL164C,4.695,Pol II,
YDR316W,4.469,Pol II,
YGR084C,5.37,Pol II,
YGR222W,1.839,Pol II,
tK(UUU)D,3.585,Pol III,
YGL048C,1.853,Pol II,
YMR187C,2.227,Pol II,
YDL185W,1.937,Pol II,
YFR051C,4.265,Pol II,
YLR008C,4.421,Pol II,
YMR104C,1.599,Pol II,
YDR239C,8.149,Pol II,
YNR012W,3.793,Pol II,
YDR143C,1.628,Pol II,
YER032W,8.174,Pol II,
YLR020C,3.13,Pol II,
YNL244C,3.127,Pol II,
YMR266W,2.569,Pol II,
tR(UCU)M1,6.177,Pol III,
tG(UCC)G,3.834,Pol III,
YGL084C,1.908,Pol II,
YDR392W,5.262,Pol II,
YNL137C,4.755,Pol II,
YMR054W,2.476,Pol II,
YNL036W,1.917,Pol II,
YLR250W,5.98,Pol II,
YLR185W,2.486,Pol II,
YDR524C,5.744,Pol II,
YBR172C,5.847,Pol II,
YDL175C,3.73,Pol II,
YDR422C,2.794,Pol II,
YLR408C,2.838,Pol II,
YMR125W,2.746,Pol II,
tX(XXX)D,4.197,Pol III,
YIL027C,1.759,Pol II,
YCR035C,2.802,Pol II,
YGR112W,2.947,Pol II,
YLR370C,2.225,Pol II,
YOR155C,2.724,Pol II,
YHR052W,1.775,Pol II,
YMR188C,4.357,Pol II,
YDL051W,1.639,Pol II,
YCR065W,4.815,Pol II,
YOR336W,5.782,Pol II,
YGR267C,2.998,Pol II,
tK(UUU)G2,5.786,Pol III,
YDR027C,6.005,Pol II,
YBR179C,3.644,Pol II,
YOL127W,2.971,Pol II,
YBR249C,1.412,Pol II,
YOR197W,2.971,Pol II,
YDR120C,5.088,Pol II,
YBL005W,3.324,Pol II,
YNL029C,1.484,Pol II,
YNL288W,3.273,Pol II,
YLR355C,3.177,Pol II,
YGR082W,3.927,Pol II,
YKL005C,2.724,Pol II,
YBL024W,1.6,Pol II,
YNL098C,1.843,Pol II,
YOL115W,3.696,Pol II,
YOL107W,3.725,Pol II,
YLR009W,2.949,Pol II,
YHR056C,3.892,Pol II,
YIL146C,4.501,Pol II,
YOR133W,1.805,Pol II,
YGR055W,2.245,Pol II,
YGL135W,15.645,Pol II,
YDR097C,3.618,Pol II,
YML015C,10.754,Pol II,
YMR204C,2.516,Pol II,
