"","L2","L4","L6","L8","U2","U4","U6","U8","T2","T4","T6","T8"
"YDR051C",1474.94371634846,1084.07940303542,693.615811251458,1259.51069749058,18.9540162928724,65.0292861689277,8.08816095440299,19.8787396879038,258.808674120476,206.043795233052,174.569187734593,190.147951614378
"YDR288W",853.259956722944,627.052201755746,435.835222395552,644.368456285237,17.0586146635852,17.735259864253,5.77725782457357,6.93444407717574,217.614213879847,148.28909505409,122.072842070521,136.344029614168
"YDR141C",2491.95252647825,1765.53960494351,1065.670269394,1867.69431605786,15.7950135773937,34.8136582520522,5.19953204211621,8.7836291644226,191.643793293363,126.435965256646,117.802804384927,146.737969091481
"YDR194C",7308.09527373852,5453.04181526852,3844.11981216565,5834.10921975748,317.163872634065,716.635870811112,131.721478400277,262.121986117243,1068.36937102328,736.762661742428,666.377057640108,754.477724412032
"YDR424C",400.141193251541,359.09280100546,345.479139703792,359.064928124387,115.619499386522,319.891539033008,86.0811415861461,150.708584610619,485.378205443937,240.384427771894,211.241276093227,165.691623432464
"YDR054C",2143.18352253082,2100.14880588042,1011.19086659456,1786.97429345625,10.1088086895319,22.3332901994297,1.73317734737207,3.69837017449373,85.0755157143433,73.3640786057079,73.3441767172679,86.2085568412451
"YDR122W",2154.42118894109,1730.17440484449,1114.8346085057,1713.21289349271,8.84520760334046,28.245043487514,4.0440804772015,8.7836291644226,94.0308331579584,74.1445475270452,88.1637192731542,82.5401076139581
"YDR184C",343.952861200171,330.52860092548,150.150549178956,386.899418676665,0,1.97058442936145,0.577725782457357,0.924592543623432,23.2838253533992,9.36562705604782,9.92155815182219,15.8966133182438
"YDR183C-A",54.9842963645547,39.4458001104482,27.9040843606909,52.8855320493283,0,0.656861476453815,0,0,4.47765872180754,0,1.00471474955161,1.83422461364351
"YDL240W",1295.14105378407,1011.98880283357,706.903470470835,1113.37962209112,5.05440434476597,4.59803033517671,2.88862891228678,0.924592543623432,51.045309428606,53.8523555722749,57.6455087555239,92.9340470912713
"YDR056C",878.946051374999,696.422401949983,520.876241399563,747.356071328666,34.1172293271703,72.2547624099197,17.9094992561781,28.2000725805147,92.2397696692354,80.3882988977438,73.4697660609618,89.2655978639843
"YDR541C",130.035854176027,146.901600411324,63.7807642530077,132.213830123321,1.26360108619149,0.656861476453815,0.577725782457357,0.462296271811716,4.47765872180754,4.68281352802391,3.01414424865484,3.05704102273919
"YDL042C",607.235331383732,355.012200994034,297.643566514036,439.784950725993,1.89540162928724,1.97058442936145,1.15545156491471,1.84918508724686,25.0748888421222,10.9265648987225,15.3218999306621,9.17112306821756
"YDR185C",54.181605906678,46.246800129491,65.1095301749453,66.8027773254673,0,0.656861476453815,0,0.924592543623432,11.6419126766996,8.5851581347105,11.3030409324557,6.72549025002621
"YDR328C",2767.6766987589,2308.25940646313,1755.29978287965,2219.80062154417,436.574175279161,945.880526093494,227.046232505741,315.28605737559,1757.03328243728,1024.7556937159,642.138314307176,716.570415730066
"YDR280W",2185.32477156935,1826.7486051149,1354.01247445448,1892.74535755491,7.58160651714896,27.5881820110602,5.77725782457357,6.00985153355231,318.809300992697,238.823489929219,242.387433329327,270.853834614692
"tV(UAC)D",3.6121070604452,10.8816000304685,9.30136145356362,12.5255207485251,1.89540162928724,1.31372295290763,0.577725782457357,0.924592543623432,0,0,2.63737621757299,4.27985743183486
"YDR098C",907.040217400684,775.314002170879,604.588494481635,944.98095424984,41.6988358443193,68.3135935511968,25.997660210581,42.9935532784896,94.0308331579584,82.7297056617557,92.9361143335244,110.053476818611
"YDR005C",1736.62080561626,1320.75420369811,902.232060995671,1191.3161956375,21.4812184652554,23.6470131523373,12.7099672140618,20.3410359597155,199.703578992616,168.581287008861,140.660064937226,163.85739881882
"YDR423C",1175.13883033151,805.238402254668,482.34202966337,666.636048727059,8.84520760334046,8.5391991938996,3.46635469474414,3.23607390268201,102.090618857212,65.5593893923347,47.0960038852319,54.4153302047576
"YDR017C",2198.97050935325,1955.96760547671,1066.99903531594,1727.13013876885,11.3724097757234,12.4803680526225,2.31090312982943,3.69837017449373,128.061039443696,115.509400357923,135.38531250208,163.85739881882
"YDR419W",857.674754241266,771.233402159453,427.862626863926,590.091199708295,5.68620488786172,12.4803680526225,1.73317734737207,5.08525898992888,134.329761654226,106.143773301875,84.2704496186417,100.882353750393
"YDR444W",1423.97287227329,1167.05160326774,772.01300064578,1025.70097685145,6.94980597405322,15.7646754348916,0.577725782457357,4.62296271811716,163.882309218156,99.9000219311767,109.890675732208,111.276293227706
"YDR341C",6581.25906413116,4641.00241299481,4008.88678648592,5334.48011434409,325.37727969431,660.145783836084,429.250256365816,464.145456898963,1370.16356887311,967.781462458274,1067.50942139859,1058.34760207231
"YDR154C",15.6524639285959,21.763200060937,15.9451910632519,16.7006943313668,3.15900271547873,3.28430738226908,1.15545156491471,0.462296271811716,1.79106348872302,0,0.251178687387904,0
"YDR464W",1578.89213064349,949.419602658375,657.739131359142,1020.13407874099,8.84520760334046,23.6470131523373,1.73317734737207,5.08525898992888,83.2844522256203,66.339858313672,68.0694242821219,78.2602501821232
"YDR132C",1441.63206234657,1118.08440313064,903.560826917609,1366.67348611685,2.52720217238299,4.59803033517671,0.577725782457357,2.31148135905858,68.0604125714746,78.0468921337318,79.2468758708836,75.8146173639319
"YDL210W",40.1345228938356,31.2846000875969,15.9451910632519,27.834490552278,0,1.31372295290763,0,1.38688881543515,5.37319046616905,0.780468921337318,2.13501884279718,0.611408204547838
"YDR395W",7550.50779201728,5355.1074149943,3076.09310928568,4770.83168066046,50.5440434476597,117.578204285233,25.4199344281237,38.8328868321841,697.619228857615,658.715769608696,484.774866658654,617.522286593316
"YDL222C",65.419272316952,39.4458001104482,65.1095301749453,57.06070563217,1.89540162928724,8.5391991938996,1.15545156491471,0.462296271811716,7.16425395489207,3.12187568534927,9.29361143335244,6.72549025002621
"YDR372C",2918.58250483972,2358.58680660404,1641.02591359301,2662.36902132539,80.8704695162556,200.342750318414,56.6171266808209,86.4494028287909,476.422888000322,400.380556646044,335.323547662851,418.814620115269
"YDR325W",2298.50412612996,1768.26000495113,1105.53324705213,1697.90392368896,28.4310244393086,58.4606714043895,15.5985961263486,16.6426657852218,543.587768827436,355.893828129817,258.462869322153,307.538326887562
"YDR216W",9179.56807627807,6341.25241775551,3926.50329932578,6795.79086833868,20.8494179221596,42.695995969498,9.24361251931771,14.3311844261632,218.509745624208,185.751603278282,205.966523658081,237.837791569109
"YDR082W",626.901247601711,550.881001542467,294.98603467016,489.887033720094,3.15900271547873,5.25489181163052,1.15545156491471,0.924592543623432,94.0308331579584,75.7054853697198,63.6737972528336,68.4777189093578
"YDL224C",681.885543966266,372.694801043545,232.53403633909,438.393226198379,2.52720217238299,0.656861476453815,1.15545156491471,1.84918508724686,10.7463809323381,7.02422029203586,10.0471474955161,15.8966133182438
"YDR498C",958.412406704793,693.702001942366,474.369434131745,578.957403487383,5.68620488786172,4.59803033517671,0.577725782457357,0.462296271811716,43.8810554737139,31.2187568534927,37.1744457334097,38.5187168865138
"YDR010C",1.20403568681507,1.36020000380856,1.32876592193766,1.3917245276139,0,1.31372295290763,0,0,0,0,0,0
"YDR006C",2287.26645971969,1405.08660393424,900.903295073733,1358.32313895117,11.3724097757234,9.85292214680723,7.51043517194564,7.39674034898746,127.165507699334,99.9000219311767,83.0145561817022,107.607844000419
"YDR182W",1426.38094364692,1266.34620354577,745.437682207027,1210.80033902409,17.0586146635852,38.0979656343213,4.0440804772015,11.5574067952929,115.523595022635,92.8758016391408,76.1071422785348,120.447416295924
"YDL102W",1987.46157370274,1613.19720451695,721.519895612149,1376.41555781015,22.7448195514469,50.5783336869438,12.7099672140618,7.85903662079917,308.95845180472,205.263326311715,162.763789427362,194.427809046212
"YDL179W",487.634453160102,338.689800948331,204.6299519784,306.179396075058,1.26360108619149,0,1.15545156491471,0.462296271811716,20.5972301203147,4.68281352802391,8.16330734010687,9.17112306821756
"YDL067C",4188.84015442962,3882.01081086963,2810.33992489815,3036.74291925353,511.758439907555,1227.67409949218,333.925502260352,590.814635375373,1750.76456022675,1212.06823483685,1048.41984115711,926.283429889974
"YDR030C",498.069429112499,382.216201070205,178.054633539646,372.982173400526,7.58160651714896,14.4509524819839,0.577725782457357,3.69837017449373,90.4487061805123,78.0468921337318,46.2168784793743,61.7522286593316
"YDR020C",414.99096672226,378.13560105878,223.232674885527,356.281479069159,0.631800543095747,1.97058442936145,0.577725782457357,2.31148135905858,38.5078650075449,24.9750054827942,25.4946367698722,35.4616758637746
