gene,time
YGL179C,<1
YMR098C,<1
YDL178W,<1
YGL080W,<1
YJR137C,<1
YNL024C,<1
YOR143C,<1
YOR002W,<1
YMR236W,<1
YPL228W,<1
YBL061C,<1
YDL167C,<1
YGL011C,<1
YGL191W,<1
YDR514C,<1
YGL070C,<1
YLR095C,<1
YBL004W,<1
YJL132W,<1
YJL070C,<1
YNL248C,<1
YNL074C,<1
YOR206W,<1
YPL183W-A,<1
YBR196C,<1
YBL068W,<1
YBR163W,<1
YBR183W,<1
YIL022W,<1
YCR096C,<1
YJR109C,<1
YOL090W,<1
YGR038C-B,<1
YGR038C-A,<1
YOR224C,<1
YJR112W,<1
YMR213W,<1
YDR294C,<1
YKR081C,<1
YAL061W,<1
YBR096W,<1
YIR010W,<1
YJR066W,<1
YNL247W,<1
YCR018C-A,<1
YGR119C,<1
YGR180C,<1
YMR256C,<1
YPR120C,<1
YDR221W,<1
YHR114W,<1
YOR290C,<1
YJL095W,<1
YGR282C,<1
YLR099C,<1
YCL020W,<1
YCL019W,<1
YGL106W,<1
YOR305W,<1
YLL067C,<1
YPR158C-C,<1
YPR158C-D,<1
YDR055W,<1
YIL002W-A,<1
YHR148W,<1
YML129C,<1
YML009C,<1
YOR261C,<1
YBR149W,<1
YER136W,<1
YGR195W,<1
YBL111C,<1
YJR016C,<1
YML053C,<1
YNL245C,<1
YER016W,<1
YLR279W,<1
YNL059C,<1
snR64,<1
YLR363W-A,<1
YLR291C,<1
YDR395W,<1
YJL082W,<1
YJR051W,<1
YKR069W,<1
YAL014C,<1
YAR007C,<1
YBR069C,<1
YIL162W,<1
YLR109W,<1
YMR048W,<1
YPL014W,<1
YBR127C,<1
YER043C,<1
YLR058C,<1
YGL130W,<1
YLR120W-A,<1
YNL073W,<1
YDR426C,<1
YML064C,<1
YBL043W,<1
YNL131W,<1
YDR329C,<1
YIL033C,<1
YJL107C,<1
YNL255C,<1
YDR165W,<1
YER171W,<1
YOR197W,<1
YPL215W,<1
YML105C,<1
YLR258W,<1
YOR099W,<1
YGR200C,<1
YJR065C,<1
YNR045W,<1
YPL030W,<1
YPL064C,<1
YDL155W,<1
YDL147W,<1
YGL068W,<1
YDR475C,<1
YBR072W,<1
YML027W,<1
YJR042W,<1
YBR154C,<1
YEL057C,<1
YJR070C,<1
YJL183W,<1
YLR227W-A,<1
YLR227W-B,<1
YPL170W,<1
YBR042C,<1
YGR172C,<1
YAL013W,<1
YLR150W,<1
YHR207C,<1
YLR216C,<1
YOR196C,<1
YPR174C,<1
YBR171W,<1
YKR047W,<1
YNL256W,<1
YOR194C,<1
YOR279C,<1
YPL245W,<1
YDL166C,<1
YOR159C,<1
YOR216C,<1
YBR142W,<1
YLL001W,<1
YCL044C,<1
YFR015C,<1
YKR018C,<1
YMR053C,<1
YDR280W,<1
YJL122W,<1
YHR147C,<1
YGR212W,<1
YKL126W,<1
YKL124W,<1
YNL228W,<1
YNL217W,<1
YLR065C,<1
YGL022W,<1
YGL056C,<1
YGL038C,<1
snR128,<1
YNL312W,<1
YPR158W,<1
YER050C,<1
YDL179W,<1
YMR291W,<1
YOR204W,<1
YPR133W-A,<1
YPR016C,<1
YHR069C,<1
YPL189C-A,<1
YGL002W,<1
YKL137W,<1
YML119W,<1
YER055C,<1
YGL123W,<1
YNR009W,<1
YMR218C,<1
YDR469W,<1
YOR289W,<1
YHL034C,<1
YKR075C,<1
YGL205W,<1
YHL027W,<1
YML116W,<1
YML112W,<1
YPL097W,<1
YAL035W,<1
