,L1,L2,L3,L4,L5,L6,L7,L8,U1,U2,U3,U4,U5,U6,U7,U8,T1,T2,T3,T4,T5,T6,T7,T8
YJR137C,339,13501,454,2839,263,881,254,1308,642,205,796,487,259,137,669,238,323,492,576,502,491,1657,503,369
YJL038C,1,16,2,7,0,8,0,2,7,0,0,0,1,0,3,2,2,0,0,2,0,10,3,1
YJR056C,33,3477,72,822,37,596,24,806,149,9,89,5,71,1,88,7,36,117,59,79,53,650,55,143
YJL072C,134,2563,27,668,27,381,13,427,327,38,170,75,95,8,140,26,199,279,147,185,116,675,148,157
YJR152W,43,1097,33,215,38,207,21,211,127,2,87,13,56,5,96,4,58,65,94,65,94,265,100,75
YJL142C,0,26,5,3,1,2,0,4,4,0,1,1,0,0,4,0,1,0,3,0,0,5,1,1
YJL192C,16,1313,37,340,12,225,14,352,97,26,30,29,22,8,31,24,12,27,26,24,36,190,29,61
YJR001W,437,5543,114,1227,110,1112,99,1257,541,102,525,240,383,121,657,153,411,564,489,322,538,2134,505,508
YJR110W,90,1158,38,398,16,135,30,298,63,2,94,6,46,3,147,4,43,90,92,119,54,342,127,132
YJL190C,204,13669,487,3756,311,2486,380,4465,924,404,1309,1739,289,232,1769,1645,259,672,1201,1552,499,3767,1852,1938
YJL099W,57,2309,37,529,19,286,29,450,184,12,113,21,73,7,104,13,79,103,96,95,99,542,127,117
YJL090C,12,1185,32,241,35,198,36,285,40,11,49,3,25,3,52,10,20,44,24,37,43,231,39,63
YJL055W,212,3695,201,992,114,815,100,853,803,210,402,428,261,120,431,229,424,525,450,367,455,2106,469,424
YJL085W,18,1995,44,505,16,291,16,546,89,4,59,21,34,0,60,6,17,49,39,33,42,327,38,86
YJR109C,163,11708,227,2467,214,2178,236,2761,722,164,563,331,381,171,761,326,376,676,463,612,609,4054,807,878
YJL167W,668,14502,516,3288,325,2796,280,3969,1927,601,1257,1375,753,441,1206,911,643,1124,973,768,993,5395,999,1384
YJL127C,41,2525,46,607,41,342,41,500,106,7,78,13,38,2,97,4,27,62,40,42,61,274,56,84
YJR004C,3,276,13,71,12,49,4,38,1,4,7,7,4,1,6,3,0,2,6,6,4,29,7,9
YJL036W,46,3168,50,745,41,481,62,592,189,9,172,11,101,6,163,4,116,152,92,133,143,780,127,150
YJL168C,180,5650,93,1519,34,736,81,1322,233,4,314,39,164,10,428,21,240,391,322,370,296,1620,406,428
YJR036C,36,614,15,159,5,107,21,104,67,6,80,6,32,5,53,7,30,49,46,42,49,151,55,34
YJL162C,4,736,12,168,8,103,18,212,25,0,31,4,14,2,27,1,13,19,23,19,12,131,28,31
YJR106W,19,1144,81,251,36,158,31,191,44,1,33,9,18,4,36,1,23,34,17,11,28,154,25,32
YJR043C,10,967,17,172,13,94,15,189,15,5,16,6,7,1,13,1,6,11,10,10,18,43,17,24
YJR066W,159,9035,278,2014,191,1322,215,2251,395,69,439,136,233,21,525,55,193,287,299,278,365,1769,395,484
YJL001W,306,7426,167,1983,102,1202,100,1801,1006,222,640,542,339,134,571,265,487,675,504,564,450,2922,543,559
YJR061W,61,1694,59,367,10,180,32,246,51,31,117,48,24,3,85,10,60,79,59,58,73,282,72,51
YJL212C,11,463,16,92,10,71,19,100,15,7,11,2,19,8,27,2,7,5,5,10,25,50,18,14
YJL024C,13,1287,30,355,13,208,6,372,63,14,35,17,26,5,41,7,19,31,29,45,33,241,20,49
YJR125C,282,6378,134,1479,76,1014,96,1306,783,173,532,305,266,92,410,141,399,577,369,376,382,1994,455,487
YJR051W,115,3502,91,788,43,614,45,750,337,82,289,178,120,28,180,68,191,305,238,240,194,1089,219,255
YJR112W-A,65,1017,4,221,14,184,15,259,235,16,71,53,75,31,110,29,100,112,80,77,111,448,87,119
YJR050W,32,1381,33,366,31,256,22,357,126,3,71,19,58,4,120,3,45,94,88,57,94,449,90,112
YJR011C,194,1239,27,388,13,249,11,288,193,16,139,20,78,1,154,6,147,162,159,126,99,559,184,129
YJR136C,42,1174,21,285,14,202,22,290,108,8,59,18,62,2,103,10,46,89,46,65,76,389,111,113
YJL200C,172,7859,123,1714,212,1880,214,2721,455,95,443,218,437,142,816,208,254,414,278,282,638,3136,663,731
YJL129C,161,7611,167,1582,132,936,161,1517,255,34,331,79,199,15,384,35,182,277,288,211,274,1279,323,304
YJR112W,19,1373,18,291,12,216,19,349,112,7,50,17,52,7,68,13,21,38,36,46,54,246,45,72
YJR103W,312,4723,169,1035,217,1592,152,2050,747,115,479,186,548,92,906,106,455,396,405,253,1010,2744,949,587
YJL044C,118,3197,63,823,46,485,59,670,253,63,263,111,130,21,238,30,137,200,167,152,186,675,176,167
YJL157C,7,136,4,45,1,18,0,17,19,1,11,0,0,0,3,0,8,9,12,7,3,19,14,9
YJR142W,52,1962,73,524,44,340,41,544,274,63,155,164,79,44,162,52,72,92,99,92,119,652,116,157
YJL034W,487,92451,1351,18113,701,14524,750,24685,4352,535,1915,970,1115,230,1807,522,1042,1875,1429,1621,1254,11732,1177,3056
YJL183W,312,7266,101,1805,75,1177,50,1379,776,137,422,262,294,59,412,107,343,720,419,519,504,2438,494,564
YJR031C,139,4718,97,1022,97,710,100,946,253,17,322,56,194,12,322,30,180,267,205,234,350,1432,444,339
YJL066C,26,1163,138,265,33,221,54,278,101,49,62,70,23,17,41,14,38,46,26,48,26,176,20,45
YJR077C,401,17830,1475,3732,619,3018,714,3661,824,702,564,498,324,262,451,500,490,773,458,467,542,3148,501,543
YJR010C-A,22,864,30,233,20,195,9,189,194,27,106,44,27,15,98,43,53,70,131,81,70,346,111,79
YJR033C,104,5014,156,1094,69,668,92,926,277,39,280,65,105,18,287,17,126,164,144,126,180,769,198,174
YJL068C,119,1956,110,523,25,318,35,380,331,183,263,293,75,84,126,86,176,227,194,119,106,605,139,140
YJL112W,120,6718,141,1536,125,1178,115,1500,401,60,377,119,233,43,466,53,208,323,259,308,344,1777,354,394
YJL039C,404,16431,361,3321,256,2383,351,3350,876,130,955,222,613,68,1256,97,537,985,781,829,1014,4767,1118,1175
YJL180C,125,3235,136,710,42,430,45,705,367,135,219,282,113,43,194,88,138,264,158,226,156,1045,174,197
YJL147C,27,1474,17,383,13,264,15,297,94,8,59,7,41,1,71,8,46,50,61,66,47,286,76,97
YJR116W,2,68,3,13,4,13,3,20,2,2,1,0,1,0,0,0,0,0,0,1,5,15,0,0
YJL025W,2,372,8,67,4,63,6,109,9,0,1,0,2,0,0,1,5,8,1,6,5,38,0,1
YJR062C,13,1806,22,421,16,240,41,408,96,11,39,8,39,1,59,6,20,40,36,70,45,282,59,78
YJR090C,55,5076,96,1110,78,781,85,1197,140,9,147,22,97,4,152,9,42,131,119,121,131,864,125,214
YJR035W,58,2780,97,634,53,278,85,574,122,13,122,21,46,0,169,5,53,94,102,91,84,389,124,120
YJL174W,110,5413,136,1214,109,954,112,1348,154,23,123,61,90,12,156,23,121,139,90,100,126,865,130,181
YJL203W,13,551,17,161,9,95,13,232,7,0,12,1,4,0,23,3,17,24,15,19,19,100,15,36
YJL014W,231,15534,322,3669,218,2327,255,3634,938,182,633,413,468,161,938,263,381,802,518,862,640,4320,785,1007
YJR149W,43,2348,69,567,29,264,34,415,240,22,136,59,67,7,91,15,99,124,92,109,107,424,113,118
YJR154W,25,498,7,111,13,96,3,66,36,1,41,6,23,0,38,0,22,22,33,47,37,104,30,37
YJR075W,157,5288,92,1150,74,858,66,1202,374,119,240,180,161,68,289,134,246,383,254,322,276,1641,369,375
YJR052W,29,1915,51,484,25,240,24,454,93,2,76,6,24,0,81,2,37,41,50,72,48,360,86,127
IRT1,18,196,7,49,3,19,1,26,56,5,17,8,8,0,7,0,14,14,18,18,12,42,11,2
YJR126C,225,6535,147,1437,116,1019,119,1256,445,42,477,62,252,10,501,24,337,406,403,373,440,1673,518,431
YJL005W,140,6181,258,1214,134,974,206,1411,374,58,318,115,131,29,265,54,174,226,228,212,224,1387,261,338
YJL206C,24,1488,41,281,22,203,22,204,78,10,51,7,28,6,67,2,33,68,45,73,60,253,59,76
YJL100W,16,2310,37,550,42,456,36,674,67,6,18,9,31,2,34,6,13,28,10,23,27,240,25,59
YJR076C,54,5155,130,1184,80,953,112,1500,169,32,104,53,68,23,156,44,63,97,71,91,142,951,111,152
YJL217W,92,1570,160,435,64,242,60,236,673,185,292,318,97,80,230,143,103,158,180,121,115,500,197,100
YJR059W,41,2812,110,570,117,637,104,723,136,19,69,26,111,6,132,15,42,44,42,41,121,498,99,87
YJR124C,57,2268,18,529,19,318,22,458,143,18,95,17,84,8,133,15,72,123,109,87,114,494,84,137
YJL143W,88,4567,141,1246,71,811,74,991,226,60,146,141,122,57,159,89,71,202,108,207,140,1515,137,282
YJL059W,4,417,7,108,8,87,9,134,31,1,9,1,5,2,7,3,8,8,3,2,7,29,8,4
YJR078W,31,1128,36,257,10,138,13,179,94,13,59,24,33,5,36,18,53,74,63,50,50,215,62,39
tM(CAU)J2,1,6,0,5,0,3,0,4,4,0,0,0,5,0,0,0,1,1,0,2,1,1,2,5
YJL207C,263,10466,279,2231,206,1540,257,2087,495,42,573,96,307,24,723,34,291,408,358,369,575,2523,568,606
YJL144W,27,1296,109,350,46,344,28,505,190,4,98,10,29,2,45,10,78,35,101,50,41,459,48,106
YJL125C,36,3277,37,780,41,490,48,826,75,12,45,21,46,2,64,8,25,57,35,68,73,620,75,110
YJL198W,65,5660,102,1156,134,1288,144,1607,205,20,178,30,176,5,280,14,84,172,108,131,273,1473,270,332
YJL122W,34,5538,71,1207,60,789,52,1368,181,33,108,77,118,12,129,33,56,195,59,157,132,1013,106,266
YJL225C,503,18378,1121,3751,452,2529,336,3021,998,148,849,212,500,129,883,186,557,769,612,560,836,3408,765,439
YJR073C,255,3484,245,931,61,389,62,439,982,328,435,459,160,118,232,131,237,377,305,225,206,892,173,138
YJR143C,573,11397,359,2467,302,2042,254,2255,1266,464,921,873,657,555,1086,768,639,1064,761,717,1035,5359,1079,1141
YJL131C,62,1638,40,390,27,222,17,363,131,27,131,62,41,8,110,10,60,82,65,89,70,429,106,111
YJL177W,162,11302,430,2756,431,2567,320,2962,1227,298,348,379,434,362,506,501,106,305,160,252,392,2188,396,442
YJR032W,20,2083,33,573,29,321,27,640,58,13,56,38,44,5,57,21,32,39,51,72,44,340,45,81
YJR151C,1,290,19,38,7,18,0,49,2,0,4,0,4,0,3,3,1,5,0,1,3,11,3,2
YJR024C,453,4573,81,1048,68,874,46,1136,620,280,481,423,356,183,513,329,533,856,454,533,630,3006,596,701
YJL140W,135,2490,94,776,42,373,77,812,197,34,417,340,89,11,413,148,120,173,463,501,126,808,471,403
YJR068W,103,3105,58,769,65,579,49,793,357,47,141,96,145,28,200,57,158,283,177,237,221,1259,186,264
YJR017C,28,1738,65,423,47,355,35,367,180,69,70,55,47,38,62,48,32,45,27,27,52,274,31,37
YJR058C,90,1098,37,277,15,222,14,292,248,36,120,80,87,13,131,35,124,130,101,106,122,534,147,120
YJR101W,116,3213,83,910,48,674,67,1099,558,99,266,264,157,59,231,112,175,296,281,330,183,1479,290,425
YJL026W,125,4765,483,1194,271,1398,314,2241,570,313,320,321,182,120,291,268,181,288,237,178,234,1409,224,365
YJL096W,147,2786,59,700,50,462,44,744,523,110,358,391,113,76,303,101,182,304,271,343,222,1209,248,229
YJR156C,3,95,9,49,0,23,3,25,25,10,6,4,5,3,2,3,6,10,8,7,3,31,15,3
YJL063C,125,4133,134,994,55,806,62,913,584,186,237,310,178,82,234,124,246,404,214,290,272,1617,233,308
YJR159W,6,113,0,49,5,19,2,26,33,0,4,9,4,0,15,5,10,3,4,13,4,23,9,6
YJR094C,1,53,1,12,0,2,1,4,7,0,1,0,0,0,2,2,0,0,1,0,0,2,1,0
YJL101C,150,20225,163,5087,131,3224,129,4282,505,69,345,103,234,31,423,40,203,869,278,731,442,4374,401,930
YJL056C,7,792,11,117,13,107,17,133,27,0,10,2,8,0,13,0,14,8,23,8,14,81,12,16
YJR041C,55,6136,131,1275,88,904,142,1399,142,13,99,23,84,3,145,12,46,113,83,95,129,675,138,171
YJL080C,196,15249,764,2858,420,2464,592,3850,825,372,595,517,313,275,650,499,267,409,378,321,507,2631,509,684
YJR091C,26,2147,96,321,56,275,125,441,59,9,26,6,27,3,29,1,18,27,18,15,27,94,14,35
YJR013W,46,2075,52,554,20,303,29,444,147,18,79,26,50,1,72,8,47,81,68,59,82,402,84,67
YJL222W,109,5249,150,1010,108,764,95,1178,267,37,267,72,167,21,360,70,128,260,196,218,291,1006,239,329
YJL121C,28,2337,73,580,51,449,67,618,176,85,55,117,62,50,78,82,41,61,31,58,71,530,71,86
YJL138C,421,23524,1056,5618,677,4605,865,6924,2611,931,1080,1599,831,861,1457,1720,536,1037,732,962,1069,6977,1272,1484
YJL151C,38,1820,65,412,29,358,21,483,81,37,62,24,32,16,68,16,48,51,67,39,26,231,69,76
YJL057C,160,2627,42,629,40,448,41,533,224,10,231,30,147,1,240,6,162,198,205,165,168,843,277,206
YJL218W,9,92,3,32,0,8,0,18,25,5,23,14,3,6,7,7,8,21,19,7,7,36,12,6
YJL130C,444,28997,1322,5587,1905,7142,2407,9825,1153,552,863,690,1242,994,2203,1577,382,930,598,697,1739,10278,1760,2444
snR190,32608,26391,7688,13414,9375,12024,2405,13198,105891,56600,67630,87172,41755,71387,54799,81529,21331,41306,56725,44463,45067,244754,64269,55096
YJL069C,41,7710,113,1690,83,973,86,1506,229,6,155,14,142,4,226,6,91,235,138,201,235,1466,212,330
YJL045W,27,82,7,22,2,7,0,8,63,13,20,33,4,2,6,10,22,22,27,26,4,15,7,15
YJL091C,85,2785,61,689,39,598,46,595,236,16,145,46,99,22,132,18,71,132,99,105,103,643,116,179
YJL033W,155,10709,170,2334,137,1581,164,2212,315,42,335,114,280,18,501,56,262,531,279,526,462,2729,580,666
YJR122W,62,5738,87,1450,28,703,38,1039,190,39,156,133,68,31,97,33,75,171,108,134,76,871,86,175
YJL041W,18,4392,172,1020,91,626,155,1257,62,25,39,23,41,5,39,18,13,35,27,20,23,205,25,63
YJL065C,4,1231,13,365,17,224,8,427,77,5,34,7,12,2,21,5,13,13,13,13,25,146,18,43
YJR148W,2570,42895,1389,9211,255,3167,237,3287,8854,4118,6032,7414,1055,719,1427,1113,4758,7435,4277,4350,1405,7611,1480,1497
YJL123C,254,8284,309,1795,158,1182,214,1626,537,92,584,349,261,58,572,114,427,528,445,422,496,2399,571,511
YJL046W,132,1940,67,385,27,290,27,418,229,52,182,115,101,22,214,32,172,278,165,192,158,843,174,179
YJR123W,574,22385,1288,4725,967,3661,911,6103,1914,1037,1207,1818,739,639,1525,1785,472,895,714,845,800,5295,1067,1465
YJR118C,37,1541,30,470,27,274,30,377,189,25,74,40,38,16,89,22,37,80,51,65,83,471,78,118
YJL071W,102,3282,35,722,23,356,25,519,199,23,199,89,90,22,191,24,139,263,165,197,134,797,133,135
YJR015W,332,4543,109,1117,66,672,62,873,363,98,332,206,183,39,321,76,311,432,337,273,261,1323,362,269
YJR102C,4,700,11,212,5,136,9,191,48,7,21,14,3,0,18,7,12,12,14,15,19,106,22,27
YJL004C,124,1971,31,555,30,386,23,490,325,19,188,58,117,18,224,23,183,194,167,182,181,867,206,165
YJL155C,549,4467,84,1117,39,581,58,728,503,33,503,45,240,9,429,28,538,450,500,342,341,1237,431,291
YJL154C,74,6868,201,1708,120,1104,146,1852,240,35,171,69,109,23,233,44,92,145,124,136,134,1067,204,279
YJR107W,39,807,36,193,3,112,12,138,45,15,57,13,19,2,55,10,35,27,37,33,55,171,61,47
YJL035C,49,665,10,182,13,172,11,279,79,21,61,36,55,11,70,23,54,67,49,55,59,412,80,92
YJR089W,82,3422,79,743,62,452,35,721,184,9,189,27,108,13,248,12,149,216,173,207,189,935,232,237
YJL042W,60,3182,169,484,96,416,139,626,136,40,73,70,54,18,112,46,37,45,66,47,57,367,70,107
YJL115W,53,2942,102,598,70,322,77,473,138,22,118,72,37,11,146,34,101,160,103,146,112,558,124,161
YJR003C,197,3340,41,796,42,626,42,769,207,16,196,26,189,3,321,8,174,326,172,232,255,1294,306,286
YJL116C,21,1454,47,320,34,268,41,465,23,2,27,2,24,4,37,2,14,24,20,14,28,136,20,39
YJL053W,15,1862,38,394,15,310,25,475,51,5,39,17,26,1,43,10,26,22,21,29,35,277,44,44
YJL124C,33,2635,46,620,48,451,46,782,96,32,63,30,26,21,67,27,72,61,39,53,62,393,58,89
YJR104C,521,28130,802,8829,372,5997,306,7365,2771,1110,1286,1726,787,602,978,784,873,2179,1090,1674,1021,10261,891,1950
YJL105W,3,85,0,7,2,9,7,14,3,2,4,0,0,0,2,2,7,4,3,1,1,16,3,1
YJL215C,1,60,9,11,7,9,2,14,11,0,2,0,0,0,0,0,0,3,0,0,1,4,2,0
YJR070C,44,4454,134,959,77,719,130,1289,100,55,47,42,48,22,74,55,33,77,39,50,67,450,66,110
YJR097W,6,381,8,113,6,45,2,99,4,0,7,5,4,0,12,2,5,14,2,32,3,84,15,22
YJL126W,153,1181,26,292,19,225,9,268,224,54,140,96,94,28,149,50,154,183,124,121,160,627,134,134
YJL214W,12,212,2,32,2,24,3,42,56,1,22,0,10,0,19,1,19,18,23,6,16,73,27,19
YJL166W,2673,20382,928,5291,730,5073,534,5359,4600,1064,3504,2225,2463,765,4022,1206,3406,3253,3250,2582,3299,14458,4078,2882
YJL023C,17,760,15,205,12,159,16,256,64,0,29,14,24,8,40,0,10,14,8,29,27,131,26,28
YJL094C,64,3715,164,854,128,684,139,924,193,9,157,18,111,2,230,4,57,88,102,107,171,621,186,172
YJR054W,97,2557,26,618,29,398,44,510,135,6,136,10,97,6,217,5,114,240,143,164,183,743,183,174
YJR141W,75,1131,28,319,23,240,16,365,220,11,125,28,72,8,193,19,109,106,92,115,155,638,184,152
YJL191W,46,2691,93,703,46,447,68,792,217,32,101,43,76,34,117,38,66,105,81,109,124,498,108,113
YJR135C,21,743,5,169,11,107,10,187,98,5,40,13,46,2,66,4,54,55,36,48,70,271,78,54
YJL049W,12,1111,39,270,14,162,18,269,39,3,37,10,30,1,50,2,28,40,28,24,31,208,29,39
YJR155W,73,1096,14,233,11,167,6,215,88,8,56,14,33,3,93,1,79,81,82,67,66,322,49,73
YJL109C,672,33418,580,6528,597,4116,614,6477,984,171,1038,336,867,186,1583,291,759,1413,851,918,1415,6866,1487,1590
YJL013C,32,1456,13,343,8,197,23,290,93,2,68,9,48,0,81,4,51,52,57,73,69,397,69,74
YJL141C,75,1789,113,442,62,284,97,402,120,12,97,10,52,8,105,4,82,54,71,50,73,233,90,55
YJL133C-A,4,190,7,42,7,123,4,87,19,0,2,0,9,0,5,1,4,3,3,3,6,37,4,4
YJL178C,21,1941,44,400,29,352,39,512,114,35,77,73,35,13,87,35,32,73,49,61,93,607,109,81
YJR022W,15,667,15,121,11,125,8,161,57,5,31,16,15,2,47,9,18,47,27,29,36,237,52,52
YJL062W,10,1655,71,357,35,294,44,354,34,8,38,11,18,1,26,4,9,23,6,7,20,129,19,11
YJL082W,91,4506,94,1083,55,627,76,906,200,11,245,12,152,0,312,14,140,162,169,137,214,837,228,199
YJL098W,92,7819,127,1722,90,871,136,1689,205,8,198,15,131,1,307,4,101,205,153,255,172,1169,255,313
YJL152W,0,25,0,11,0,4,1,6,3,0,3,0,3,0,0,0,3,0,1,1,1,6,0,1
YJL196C,83,2460,74,639,63,631,41,812,443,46,248,137,126,66,255,130,129,168,138,165,187,1089,197,318
YJL003W,20,1104,15,299,10,192,9,308,142,17,88,45,25,8,35,18,25,46,55,39,41,239,39,97
YJL015C,1,14,1,5,0,15,0,8,5,0,2,0,6,2,4,0,2,1,2,0,8,11,2,0
YJR020W,0,9,0,1,0,9,0,6,4,3,4,0,0,0,4,3,5,1,2,2,6,7,3,1
YJL205C,7,270,13,30,10,76,6,36,29,6,8,14,12,11,17,13,7,13,3,7,17,98,10,5
YJR113C,277,5771,163,1562,76,1264,70,1304,1499,334,557,530,339,170,451,246,471,716,409,533,439,2571,388,494
YJR111C,6,816,8,135,17,111,3,193,21,0,4,0,3,0,14,0,4,12,10,14,17,62,5,13
YJR055W,5,801,8,244,27,171,12,293,52,1,29,7,29,0,60,0,15,32,27,33,40,265,53,70
YJL148W,242,8122,152,1931,131,1192,160,1724,605,98,424,216,404,55,650,105,316,762,352,602,536,2833,613,670
YJL097W,7,1010,28,235,16,153,14,241,24,12,19,11,21,4,13,6,6,21,8,12,13,86,15,23
YJL031C,123,2401,32,597,19,413,23,520,210,35,151,52,88,10,169,27,110,173,140,173,152,930,171,201
YJR132W,258,10735,164,2249,208,1671,147,2131,564,54,522,85,375,19,672,21,371,595,388,488,577,2825,613,676
YJL092W,20,3318,80,659,58,481,80,737,92,10,78,18,67,2,126,12,33,71,49,76,78,553,123,86
YJL083W,4,680,18,118,25,110,18,130,11,3,5,0,6,0,6,0,2,8,8,5,6,28,3,6
snR60,4,50,2,22,1,42,1,33,3,1,2,3,11,2,6,0,2,1,2,3,14,30,7,9
YJL102W,144,7426,222,1694,141,1201,120,1607,444,74,317,129,185,31,307,45,115,220,225,234,217,1260,284,332
YJL077W-A,3,186,7,45,1,30,6,56,20,4,7,18,13,7,13,9,3,9,15,8,18,76,23,16
YJR083C,11,362,9,106,7,71,2,105,16,3,13,2,16,0,11,1,10,10,9,4,13,24,8,2
YJL128C,70,5345,145,1145,83,712,87,1002,203,13,160,28,93,13,119,15,97,120,139,132,137,690,130,195
YJR042W,459,9022,205,2113,166,1472,227,2118,615,82,724,201,433,78,858,124,526,793,611,691,836,3766,909,859
YJL209W,45,2520,56,640,30,341,34,592,96,3,60,8,42,5,89,5,60,70,66,84,80,392,84,126
YJL087C,131,3659,73,831,43,405,53,708,159,19,222,40,103,3,290,10,175,253,142,227,206,1029,265,248
YJR127C,22,912,33,143,21,183,29,231,49,7,24,16,25,4,65,18,20,24,17,12,36,151,27,23
YJL210W,100,1432,38,356,26,281,29,245,274,57,151,105,122,53,138,57,158,157,163,122,196,536,155,141
YJR134C,69,3821,133,799,52,542,84,882,186,18,143,23,95,8,173,7,75,119,119,113,109,706,149,165
YJL076W,40,6707,204,1254,136,1073,219,1769,134,35,92,55,78,28,121,54,45,92,59,54,121,819,105,172
YJR027W,43,4170,294,827,39,465,68,1151,64,47,192,260,170,47,164,136,76,89,101,146,272,991,436,381
YJL113W,26,1567,41,216,20,142,21,248,65,13,84,28,41,13,138,27,58,76,86,63,143,425,147,79
YJL114W,2,208,6,56,1,22,7,34,12,0,23,0,5,0,14,1,3,6,9,6,17,51,28,6
YJR029W,52,4381,372,742,33,602,108,1194,407,225,461,283,242,83,421,131,211,486,361,198,297,1432,461,374
YKL103C,86,3181,189,802,52,498,59,684,392,137,214,208,62,35,143,66,120,175,160,111,98,594,99,134
snR69,5,113,0,28,2,26,2,52,15,9,9,7,11,9,22,11,7,13,5,12,12,68,17,17
YKR004C,4,468,5,119,14,77,8,151,12,4,10,3,12,0,19,1,5,11,19,15,12,65,9,23
YKR092C,65,6144,226,1361,173,900,229,1371,143,25,127,36,130,20,163,28,94,137,74,108,176,1104,145,192
YKL002W,198,3089,104,775,74,600,56,771,428,112,321,211,213,66,368,149,315,376,290,309,297,1833,352,363
YKL173W,202,6931,159,1512,104,914,124,1339,372,16,354,48,219,4,476,24,245,406,336,343,382,1683,438,482
YKL061W,9,800,35,203,10,113,21,261,38,4,82,22,27,7,75,11,12,44,56,64,28,270,90,75
YKL139W,82,3291,36,665,23,426,19,653,147,12,149,24,85,0,157,4,142,193,109,169,158,699,155,168
YKL180W,111,5108,142,1043,138,867,156,1234,292,126,91,138,107,91,124,147,108,234,135,131,133,861,192,137
YKL004W,53,4886,87,944,99,783,92,1040,126,57,85,45,47,22,134,54,55,117,83,125,146,662,130,147
YKL143W,232,8364,163,1765,127,1129,162,1777,344,55,424,173,292,52,588,83,383,621,343,479,390,2363,525,638
YKL062W,36,975,30,180,24,100,40,174,49,7,39,2,19,1,44,3,23,18,46,17,12,86,29,18
YKL172W,176,11150,304,2436,221,1538,280,2746,312,93,478,266,292,71,721,160,241,579,321,471,493,2997,632,611
YKR014C,51,2217,97,699,47,367,53,806,122,36,185,112,48,17,167,59,71,111,135,182,70,647,178,212
YKL149C,135,2724,60,670,22,506,24,563,414,17,237,30,122,6,230,3,156,195,209,167,209,992,216,210
YKR099W,30,3181,49,602,54,515,69,830,82,12,86,10,69,0,120,3,44,65,57,63,80,446,84,118
YKL110C,11,1594,29,383,34,263,22,579,56,15,43,6,35,3,70,18,7,33,23,61,61,272,56,72
YKL094W,509,7639,144,1900,121,1466,78,1558,799,181,635,366,509,102,721,182,617,738,530,544,714,3146,798,683
YKR094C,156,8675,401,2662,414,1998,399,2818,733,351,660,819,384,348,1082,946,212,496,461,599,621,3867,898,962
YKR058W,82,1578,70,360,54,298,52,268,151,11,151,24,104,10,226,9,83,71,108,71,101,443,173,61
YKR052C,96,4323,107,1245,46,565,30,666,245,12,221,25,91,3,160,5,189,283,217,285,140,1052,185,228
YKL157W,1932,14583,902,3057,385,2147,420,2861,3674,1562,2915,3201,1070,833,1866,1364,2388,3096,2418,2201,1781,8020,1861,1700
YKL068W-A,0,321,2,91,1,31,4,77,4,0,0,2,2,0,6,0,0,7,3,16,1,53,14,21
YKR062W,15,2594,50,731,26,385,23,714,157,14,65,28,51,3,87,17,40,50,47,99,65,371,36,126
YKL091C,57,1223,45,335,20,296,32,380,159,18,150,58,57,8,152,19,98,87,107,69,125,494,136,105
YKR073C,10,80,5,15,1,19,3,16,19,2,16,2,4,4,15,0,12,8,10,11,13,39,16,8
YKR087C,60,2739,42,647,31,407,45,599,384,9,154,14,97,8,186,7,143,156,153,113,156,636,160,183
YKL070W,1,40,1,10,1,5,1,10,6,1,0,0,0,1,0,0,5,5,1,2,0,8,5,4
YKR038C,41,4704,90,1106,64,902,61,1154,190,29,191,63,97,32,212,19,139,243,154,199,223,1433,241,270
YKR048C,265,9581,350,2357,186,1895,181,2734,981,335,484,518,317,183,530,401,410,623,456,424,447,2776,498,709
YKL096W-A,520,9047,785,2063,684,2026,505,2459,737,572,444,478,613,393,694,706,337,491,358,343,607,3578,552,550
YKL014C,92,12034,254,2314,238,1713,290,2638,273,39,278,65,223,22,462,56,167,252,223,320,424,2483,508,626
YKR082W,259,11225,296,2677,172,1563,175,2400,528,45,507,96,300,25,635,49,352,538,475,597,518,2688,591,700
YKR045C,2,407,15,99,3,92,11,109,4,0,0,4,4,0,5,0,3,3,0,0,3,23,2,4
YKL018C-A,12,509,36,110,12,95,33,108,68,24,32,30,21,8,20,16,27,32,22,31,20,107,33,53
YKL126W,582,8326,184,2073,151,1428,166,1701,843,84,819,237,459,76,864,97,652,740,657,599,758,3031,946,640
YKR072C,35,5581,118,1106,81,747,100,904,163,4,78,10,78,14,140,5,54,86,55,65,126,550,86,136
YKR075W-A,0,12,6,5,0,8,0,10,2,0,3,0,1,0,7,2,3,0,0,0,6,8,2,5
YKL074C,186,3536,49,876,37,561,53,891,285,2,207,21,183,7,313,6,221,297,171,242,266,1368,309,319
YKL087C,51,2090,52,466,55,378,35,567,69,20,37,44,36,9,47,26,33,58,38,51,38,268,24,65
YKL018W,6,847,16,220,6,135,13,248,21,3,4,4,3,1,8,1,6,4,6,9,10,46,6,13
YKL135C,122,6929,111,1637,83,997,102,1431,311,32,268,67,135,9,303,38,133,251,184,200,223,1164,232,319
YKL112W,256,7650,148,1508,111,1257,141,1877,341,45,303,101,232,34,362,58,262,347,265,216,318,1445,342,410
YKR085C,77,2203,57,514,19,390,36,535,301,91,166,182,78,66,172,87,138,215,157,161,143,1055,172,153
YKR102W,2,87,10,15,1,10,6,14,9,1,0,0,1,0,1,0,2,0,3,1,0,2,0,1
