cluster,gene
10,YBR216C
10,YOR093C
10,YKL047W
10,YIR004W
10,YDR227W
10,YKR089C
10,YOR017W
10,YDL185W
10,YFL036W
10,YKL124W
10,YMR267W
10,YDR079W
10,YNL322C
10,YBR044C
10,YNL032W
10,YNL159C
10,YNL158W
10,YDR210W-A
10,YJR125C
10,YNL290W
10,YIL088C
10,YDL027C
10,YOR109W
10,YKL062W
10,YAR015W
10,YMR053C
10,YJR021C
10,YDR485C
10,YBR026C
10,YLR398C
10,YHR028C
10,YKL130C
10,YDL215C
10,YNL297C
10,YGL181W
10,YBR111W-A
10,YBR111C
10,YJR067C
10,YJR068W
10,YNL083W
10,YOL049W
10,YNL084C
10,YGL231C
10,YPR168W
10,YPL257W
10,YDL045W-A
10,YDR032C
10,YOL148C
10,YGR136W
10,YLR109W
10,YKR047W
10,YKR046C
10,YPL203W
10,YGR281W
10,YPR036W
10,YBL101C
10,YBL100W-C
10,YOL048C
10,YEL011W
10,YKR058W
10,YOR066W
10,YML048W
10,YML049C
10,YLR097C
10,YJR080C
10,YER182W
10,YDL110C
10,YBL091C
10,YBL090W
10,YHR155W
10,YBR278W
10,YGL151W
10,YGL152C
10,YIL029C
10,YDL048C
